City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Snowfall Last Hour,Rainfall Last Hour
0,Rikitea,PF,-23.12,-134.97,71.22,72,3,15.03,clear sky,0,0.0
1,Hay River,CA,60.82,-115.8,66.2,68,75,3.36,broken clouds,0,0.0
2,Albany,US,42.6,-73.97,84.0,55,10,4.0,clear sky,0,0.0
3,Mahebourg,MU,-20.41,57.7,71.6,83,75,13.87,shower rain,0,0.0
4,Severo-Kurilsk,RU,50.68,156.12,49.98,91,100,6.76,light rain,0,0.19
5,Kostino,RU,58.91,53.27,60.57,96,42,2.39,scattered clouds,0,0.0
6,Lubango,AO,-14.92,13.49,57.78,36,0,4.9,clear sky,0,0.0
7,Bethel,US,41.37,-73.41,82.4,51,1,5.82,clear sky,0,0.0
8,Olafsvik,IS,64.89,-23.71,50.79,83,58,4.18,broken clouds,0,0.0
9,Kirensk,RU,57.79,108.11,68.7,56,75,4.61,broken clouds,0,0.0
10,Port Lincoln,AU,-34.73,135.87,54.86,77,17,2.89,few clouds,0,0.0
11,Hithadhoo,MV,-0.6,73.08,84.83,72,71,9.19,broken clouds,0,0.0
12,Bredasdorp,ZA,-34.53,20.04,57.2,44,0,12.75,light rain,0,0.94
13,Barrow,US,71.29,-156.79,39.2,80,90,8.05,overcast clouds,0,0.0
14,Butaritari,KI,3.07,172.79,83.71,75,64,11.88,broken clouds,0,0.0
15,Airai,TL,-8.93,125.41,63.61,78,95,5.77,overcast clouds,0,0.0
16,Vaini,TO,-21.2,-175.2,73.4,73,75,17.22,light intensity drizzle,0,0.0
17,Thompson,CA,55.74,-97.86,73.4,56,75,6.93,broken clouds,0,0.0
18,Beloha,MG,-25.17,45.05,63.36,83,61,5.17,broken clouds,0,0.0
19,Sayyan,YE,15.17,44.32,66.27,62,22,4.05,few clouds,0,0.0
20,Pevek,RU,69.7,170.31,49.21,70,69,6.15,broken clouds,0,0.0
21,Cape Town,ZA,-33.93,18.42,57.2,82,90,33.33,heavy intensity rain,0,14.48
22,Longyearbyen,SJ,78.22,15.64,44.89,77,86,1.39,overcast clouds,0,0.0
23,Podgornoye,RU,51.73,39.15,69.8,56,34,6.71,light rain,0,0.28
24,Rafai,CF,4.95,23.92,69.67,97,100,0.72,light rain,0,0.6
25,Pericos,MX,25.05,-107.7,96.01,48,62,5.01,broken clouds,0,0.0
26,Frederico Westphalen,BR,-27.36,-53.39,63.0,93,9,2.68,clear sky,0,0.0
27,Port Hardy,CA,50.7,-127.42,57.2,82,75,5.82,broken clouds,0,0.0
28,Tezu,IN,27.92,96.17,75.09,86,100,3.42,moderate rain,0,1.36
29,Basco,PH,20.45,121.97,84.76,80,67,11.63,broken clouds,0,0.0
30,Arawa,PG,-6.21,155.54,80.83,81,100,7.09,heavy intensity rain,0,4.35
31,Port Macquarie,AU,-31.43,152.92,52.0,97,1,1.01,clear sky,0,0.0
32,Antofagasta,CL,-23.65,-70.4,57.2,76,90,5.82,overcast clouds,0,0.0
33,Ushuaia,AR,-54.8,-68.3,35.6,80,40,16.11,scattered clouds,0,0.0
34,Cap Malheureux,MU,-19.98,57.61,71.01,76,3,8.99,clear sky,0,0.0
35,Kungurtug,RU,50.6,97.52,62.02,76,36,1.72,scattered clouds,0,0.0
36,Gubkinskiy,RU,64.43,76.5,58.01,78,83,15.93,light rain,0,0.2
37,Tromso,NO,69.65,18.96,50.0,93,75,4.7,broken clouds,0,0.0
38,Garowe,SO,8.41,48.48,77.9,64,78,30.22,broken clouds,0,0.0
39,Hermanus,ZA,-34.42,19.23,57.99,71,44,13.0,heavy intensity rain,0,7.41
40,Tuktoyaktuk,CA,69.45,-133.04,57.2,67,75,8.05,broken clouds,0,0.0
41,Slavsk,RU,55.04,21.68,49.1,95,1,7.31,clear sky,0,0.0
42,Kodiak,US,57.79,-152.41,57.2,67,90,13.87,overcast clouds,0,0.0
43,Punta Arenas,CL,-53.15,-70.92,33.8,84,72,13.87,light snow,0,0.0
44,Mar Del Plata,AR,-38.0,-57.56,42.8,56,1,12.75,clear sky,0,0.0
45,Mataura,NZ,-46.19,168.86,42.94,86,86,3.98,overcast clouds,0,0.0
46,Carnarvon,AU,-24.87,113.63,55.4,100,14,5.82,few clouds,0,0.0
47,Kandiaro,PK,27.06,68.21,89.8,59,3,8.72,clear sky,0,0.0
48,Torbay,CA,47.67,-52.73,57.0,87,90,18.34,overcast clouds,0,0.0
49,Port Alfred,ZA,-33.59,26.89,58.23,36,0,10.2,clear sky,0,0.0
50,Hobart,AU,-42.88,147.33,42.01,86,75,4.7,broken clouds,0,0.0
51,The Valley,AI,18.22,-63.06,84.2,79,40,10.29,scattered clouds,0,0.0
52,Abha,SA,18.22,42.51,73.4,53,20,9.17,few clouds,0,0.0
53,East London,ZA,-33.02,27.91,58.8,43,0,15.03,clear sky,0,0.0
54,Cairns,AU,-16.92,145.77,73.4,73,75,10.29,broken clouds,0,0.0
55,Karratha,AU,-20.74,116.85,62.73,29,31,18.34,scattered clouds,0,0.0
56,Jamestown,US,42.1,-79.24,73.0,68,40,11.41,scattered clouds,0,0.0
57,Udachnyy,RU,66.42,112.4,59.0,67,20,6.71,few clouds,0,0.0
58,Sao Joao Da Barra,BR,-21.64,-41.05,71.87,85,81,17.29,broken clouds,0,0.0
59,Kalmunai,LK,7.42,81.82,80.19,78,100,4.45,overcast clouds,0,0.0
60,Hilo,US,19.73,-155.09,82.4,65,20,8.05,few clouds,0,0.0
61,Guia Lopes Da Laguna,BR,-21.46,-56.11,73.02,60,14,1.36,few clouds,0,0.0
62,Chokurdakh,RU,70.63,147.92,70.3,45,61,9.66,broken clouds,0,0.0
63,Yellowknife,CA,62.46,-114.35,70.0,52,75,4.7,broken clouds,0,0.0
64,Norman Wells,CA,65.28,-126.83,66.2,63,75,4.7,broken clouds,0,0.0
65,New Norfolk,AU,-42.78,147.06,42.01,92,0,1.68,clear sky,0,0.0
66,Panaba,MX,21.28,-88.27,80.51,84,52,9.42,light rain,0,0.62
67,Saint-Pierre,RE,-21.34,55.48,66.2,72,15,3.36,few clouds,0,0.0
68,San Luis,AR,-33.3,-66.34,47.68,53,91,6.2,overcast clouds,0,0.0
69,Aykhal,RU,66.0,111.5,59.0,67,20,6.71,few clouds,0,0.0
70,Bonavista,CA,48.65,-53.11,57.99,85,97,5.01,light rain,0,0.19
71,Provideniya,RU,64.38,-173.3,48.2,81,40,15.66,fog,0,0.0
72,Oster,UA,50.95,30.88,57.99,100,100,15.66,moderate rain,0,2.23
73,Busselton,AU,-33.65,115.33,55.99,72,44,13.0,light rain,0,0.28
74,Awbari,LY,26.59,12.78,84.24,20,0,10.25,clear sky,0,0.0
75,Flinders,AU,-34.58,150.86,54.0,92,49,5.99,scattered clouds,0,0.0
76,Port Elizabeth,ZA,-33.92,25.57,59.0,38,0,13.87,clear sky,0,0.0
77,Anzhero-Sudzhensk,RU,56.08,86.03,62.6,100,40,6.71,scattered clouds,0,0.0
78,Gushi,CN,34.64,109.58,74.89,66,19,4.9,few clouds,0,0.0
79,Trincomalee,LK,8.57,81.23,80.65,78,99,18.16,overcast clouds,0,0.0
80,Kapaa,US,22.08,-159.32,82.4,69,40,14.99,heavy intensity rain,0,6.6
81,Qaanaaq,GL,77.48,-69.36,45.91,63,82,3.13,broken clouds,0,0.0
82,Upernavik,GL,72.79,-56.15,41.79,87,94,9.75,overcast clouds,0,0.0
83,Launceston,AU,-41.45,147.17,45.0,93,0,8.05,clear sky,0,0.0
84,Avarua,CK,-21.21,-159.78,71.6,83,98,10.29,moderate rain,0,1.07
85,Saint George,US,37.1,-113.58,107.6,12,1,13.87,clear sky,0,0.0
86,Dikson,RU,73.51,80.55,41.49,97,98,4.99,overcast clouds,0,0.0
87,Sorong,ID,-0.88,131.25,79.0,82,3,6.11,clear sky,0,0.0
88,Lengshuitan,CN,26.41,111.6,82.81,76,95,3.49,overcast clouds,0,0.0
89,Mopipi,BW,-21.18,24.88,43.0,57,0,8.19,clear sky,0,0.0
90,Saskylakh,RU,71.92,114.08,63.0,60,93,17.63,overcast clouds,0,0.0
91,Tabuk,PH,17.42,121.44,80.96,74,100,0.81,overcast clouds,0,0.0
92,Ribeira Grande,PT,38.52,-28.7,68.7,83,2,15.68,clear sky,0,0.0
93,San Jose,US,37.34,-121.89,93.99,25,1,14.99,clear sky,0,0.0
94,Aklavik,CA,68.22,-135.01,57.2,71,90,8.05,light intensity shower rain,0,0.0
95,Ponta Do Sol,PT,32.67,-17.1,69.01,75,0,3.33,clear sky,0,0.0
96,Los Llanos De Aridane,ES,28.66,-17.92,71.6,78,75,11.41,broken clouds,0,0.0
97,Vardo,NO,70.37,31.11,46.65,90,59,3.33,broken clouds,0,0.0
98,Chuy,UY,-33.7,-53.46,44.87,66,40,9.93,scattered clouds,0,0.0
99,Juneau,US,58.3,-134.42,53.6,93,90,11.41,overcast clouds,0,0.0
100,Lakatoro,VU,-16.1,167.42,80.6,74,75,9.17,broken clouds,0,0.0
101,Nikolskoye,RU,59.7,30.79,52.0,87,59,2.24,fog,0,0.0
102,Portland,US,45.52,-122.68,77.0,47,40,5.82,scattered clouds,0,0.0
103,Umm Lajj,SA,25.02,37.27,82.94,72,33,7.23,scattered clouds,0,0.0
104,Puerto Ayora,EC,-0.74,-90.35,69.01,88,81,1.99,broken clouds,0,0.0
105,San Patricio,MX,19.22,-104.7,87.8,74,40,13.87,scattered clouds,0,0.0
106,Bambous Virieux,MU,-20.34,57.76,71.6,83,75,13.87,shower rain,0,0.0
107,Gornyak,RU,50.99,81.47,63.21,79,45,1.57,light rain,0,0.37
108,Biltine,TD,14.53,20.92,87.4,42,51,11.72,broken clouds,0,0.0
109,Aswan,EG,24.09,32.91,82.85,23,23,9.57,few clouds,0,0.0
110,Rundu,NA,-17.93,19.77,46.4,39,0,1.12,clear sky,0,0.0
111,Saint-Philippe,RE,-21.36,55.77,66.2,72,40,3.36,light rain,0,0.4
112,Tasiilaq,GL,65.61,-37.64,39.2,86,0,8.05,clear sky,0,0.0
113,Coquimbo,CL,-29.95,-71.34,55.4,82,59,5.23,broken clouds,0,0.0
114,Georgetown,MY,5.41,100.34,80.6,94,20,4.7,few clouds,0,0.0
115,Khatanga,RU,71.97,102.5,59.58,66,74,18.61,broken clouds,0,0.0
116,Lasa,IT,46.62,10.7,53.6,81,5,1.3,clear sky,0,0.0
117,Nemuro,JP,43.32,145.57,56.26,89,93,3.62,overcast clouds,0,0.0
118,Vanavara,RU,60.34,102.28,66.38,62,38,0.92,scattered clouds,0,0.0
